Date,StoreKey,AccountKey,Amount
2024-01-01,1,4000,247350
2024-01-01,1,4100,86150
2024-01-01,1,4200,25000
2024-01-01,1,5000,175100
2024-01-01,1,5100,7650
2024-01-01,1,5200,2350
2024-01-01,1,6000,70350
2024-01-01,1,6010,15500
2024-01-01,1,6100,39450
2024-01-01,1,6110,3000
2024-01-01,1,6120,1800
2024-01-01,1,6200,11350
2024-01-01,1,6210,3750
2024-01-01,1,6300,6350
2024-01-01,1,6310,2000
2024-01-01,1,6400,2800
2024-01-01,1,6410,1450
2024-01-01,1,6420,2700
2024-01-01,1,6430,700
2024-01-01,1,7000,9500
2024-02-01,1,4000,253350
2024-02-01,1,4100,88250
2024-02-01,1,4200,25600
2024-02-01,1,5000,179350
2024-02-01,1,5100,7850
2024-02-01,1,5200,2400
2024-02-01,1,6000,70800
2024-02-01,1,6010,15550
2024-02-01,1,6100,39450
2024-02-01,1,6110,3000
2024-02-01,1,6120,1800
2024-02-01,1,6200,11600
2024-02-01,1,6210,3750
2024-02-01,1,6300,6500
2024-02-01,1,6310,2050
2024-02-01,1,6400,2800
2024-02-01,1,6410,1450
2024-02-01,1,6420,900
2024-02-01,1,6430,700
2024-02-01,1,7000,9500
2024-03-01,1,4000,289550
2024-03-01,1,4100,100850
2024-03-01,1,4200,29300
2024-03-01,1,5000,204950
2024-03-01,1,5100,9000
2024-03-01,1,5200,2750
2024-03-01,1,6000,73450
2024-03-01,1,6010,16150
2024-03-01,1,6100,39450
2024-03-01,1,6110,2300
2024-03-01,1,6120,1800
2024-03-01,1,6200,13250
2024-03-01,1,6210,12750
2024-03-01,1,6300,7400
2024-03-01,1,6310,2350
2024-03-01,1,6400,2800
2024-03-01,1,6410,1450
2024-03-01,1,6420,900
2024-03-01,1,6430,700
2024-03-01,1,7000,9500
2024-04-01,1,4000,313700
2024-04-01,1,4100,109250
2024-04-01,1,4200,31700
2024-04-01,1,5000,222050
2024-04-01,1,5100,9750
2024-04-01,1,5200,2950
2024-04-01,1,6000,75250
2024-04-01,1,6010,16550
2024-04-01,1,6100,39450
2024-04-01,1,6110,2300
2024-04-01,1,6120,1800
2024-04-01,1,6200,14400
2024-04-01,1,6210,3750
2024-04-01,1,6300,8050
2024-04-01,1,6310,2550
2024-04-01,1,6400,2800
2024-04-01,1,6410,1450
2024-04-01,1,6420,900
2024-04-01,1,6430,700
2024-04-01,1,7000,9500
2024-05-01,1,4000,343850
2024-05-01,1,4100,119750
2024-05-01,1,4200,34750
2024-05-01,1,5000,243400
2024-05-01,1,5100,10650
2024-05-01,1,5200,3250
2024-05-01,1,6000,77500
2024-05-01,1,6010,17050
2024-05-01,1,6100,39450
2024-05-01,1,6110,2300
2024-05-01,1,6120,1800
2024-05-01,1,6200,15750
2024-05-01,1,6210,3750
2024-05-01,1,6300,8800
2024-05-01,1,6310,2800
2024-05-01,1,6400,2800
2024-05-01,1,6410,1450
2024-05-01,1,6420,900
2024-05-01,1,6430,700
2024-05-01,1,7000,9500
2024-06-01,1,4000,374050
