Date,StoreKey,ProductKey,UnitsSold,Revenue,Cost
2024-01-01,1,101,83,11619.17,6293.06
2024-01-01,1,102,28,5039.72,2913.4
2024-01-01,1,103,17,3314.83,1655.46
2024-01-01,1,104,40,2599.6,1290.0
2024-01-01,1,105,13,2144.87,1155.83
2024-01-01,1,106,14,1889.86,910.56
2024-01-01,1,107,26,2209.74,1260.22
2024-01-01,1,108,14,2239.86,1253.42
2024-01-01,1,109,17,1274.83,579.02
2024-01-01,1,110,67,5694.33,2718.86
2024-01-01,1,111,103,7723.97,3976.83
2024-01-01,1,112,25,1499.75,702.0
2024-01-01,1,113,5,874.95,442.45
2024-01-01,1,114,20,1999.8,1159.2
2024-01-01,1,115,14,699.86,319.2
2024-01-01,1,116,113,16948.87,9372.22
2024-01-01,1,117,11,1154.89,609.18
2024-01-01,1,118,7,1504.93,845.6
2024-01-01,1,119,5,799.95,415.8
2024-01-01,1,120,24,1319.76,668.4
2024-01-01,1,121,4,839.96,473.64
2024-01-01,1,122,9,1169.91,542.61
2024-01-01,1,123,3,569.97,294.09
2024-01-01,1,124,7,734.93,346.15
2024-01-01,1,125,6,749.94,348.36
2024-01-01,1,126,9,719.91,346.5
2024-01-01,1,127,22,1099.78,564.3
2024-01-01,1,128,170,14448.3,8139.6
2024-01-01,1,129,4,819.96,449.48
2024-01-01,1,130,8,879.92,472.8
2024-01-01,1,131,3,884.97,450.18
2024-01-01,1,132,5,524.95,237.65
2024-01-01,1,133,37,8324.63,3754.02
2024-01-01,1,134,3,434.97,246.93
2024-01-01,1,135,3,314.97,151.47
2024-01-01,1,136,4,559.96,261.6
2024-01-01,1,137,28,6299.72,3033.8
2024-01-01,1,138,76,10259.24,4746.2
2024-01-01,1,139,39,7214.61,3684.72
2024-01-01,1,140,33,8084.67,4672.47
2024-01-01,1,141,4,739.96,365.64
2024-01-01,1,142,3,434.97,206.49
2024-01-01,1,143,3,554.97,269.82
2024-01-01,1,144,34,6459.66,3630.18
2024-01-01,1,145,9,899.91,521.82
2024-01-01,1,146,25,7874.75,4492.0
2024-01-01,1,147,4,519.96,266.8
2024-01-01,1,148,2,599.98,282.84
2024-01-01,1,149,4,599.96,331.12
2024-01-01,1,150,2,369.98,212.54
2024-01-01,1,151,2,229.98,112.36
2024-01-01,1,153,1,314.99,176.66
2024-01-01,1,154,1,574.99,264.73
2024-01-01,1,155,1,364.99,196.28
2024-01-01,1,156,3,284.97,161.22
2024-01-01,1,157,1,379.99,191.7
2024-01-01,1,158,1,559.99,266.87
2024-01-01,1,159,96,15359.04,7702.08
